"Symbol","Holding","Current Price","Price Change","Price Change Percentage","P/​E RATIO","BETA","ANNUAL DIVIDEND","Consensus Rating","Consensus Rating Score","CONSENSUS PRICE TARGET","UPSIDE/​DOWNSIDE"
"AAPL","Apple Inc.","$209.28","+$0.91","0.44%","33.22","1.26","$1.00 per sh.","Moderate Buy","2.67","$233.88","11.76% Upside"
"aBNBc","Ankr Reward Bearing Staked BNB","$250.77","+$5.50","2.19%","-","-","-","","","-","-"
"AMZN","Amazon.com, Inc.","$188.99","+$2.45","1.31%","34.18","1.39","$200.00-$0.20 per sh.","Moderate Buy","2.96","$247.56","30.99% Upside"
"","Token","","","","-","-","-","","","-","-"
"","ERC-20: Arbitrum","","","","-","-","-","","","-","-"
"","ERC-20: Arbitrum","","","","-","-","-","","","-","-"
"","ERC-20: Arbitrum","","","","-","-","-","","","-","-"
"","ERC-20: Arbitrum","","","","-","-","-","","","-","-"
"","ERC-20: Arbitrum","","","","-","-","-","","","-","-"
"","ERC-20: Arbitrum","","","","-","-","-","","","-","-"
