Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x97ca2d0ae8b7d526c2342aa0b60bdfddf152e3abb2f67ad257c6873fc50646bf","Success","Approve","22235744","2025-04-10 03:10:23","0x31793390aeda8b340ae2912f9d1967c10a81b0e0","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00002493"
"0x86044edafb30a48dbac744ef66a63a65c2125e579fb2ec98f0eae7edfc543666","Success","Approve","22053351","2025-03-15 16:03:11","0x5a542591802aa3c4ba62ce169bc97874169264ff","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00002314"
"0x86462bdc2c605c8eeefa8e38ce5dfb81bb512c23de5618eefcaa5c9e2a4c4501","Success","Approve","22002422","2025-03-08 13:20:47","0xc04aa49a24ca82ee5c048f275aee6e9f74bd141d","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00003133"
"0xd9b24ec5b1277e20bb04d298b8806e13f007e81e7060310526ae75ed74fe26f8","Success","Approve","21979822","2025-03-05 09:34:59","0x81e3beaba116e09d883f08fd4f51dae2c9e19f8c","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00008221"
"0xf6c6eefcdb53d193c2350dd0e06366ef28ec9a5ce7d2886d1aecbf6b27d28c63","Success","Approve","21951879","2025-03-01 12:00:35","0xc04aa49a24ca82ee5c048f275aee6e9f74bd141d","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00008542"
"0x47320d6941ec3a4cddd607a6c7735b2e2fdf0958a6787b9682661da555e37da0","Success","Approve","21455086","2024-12-22 02:35:11","0xa55cfc92966e4a2c40a075169662cc4ccf97af2e","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00025733"
"0x329e51b01b7a5209e22e9d1f5ae03f353cc383a3df5439fb5de43627a8437e56","Success","Approve","21170673","2024-11-12 09:21:47","0x699908d8aafe380588fa2044d96b6fb2f22e5165","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00098722"
"0xc36ae927cee5b75356db139d151553fb98e8d8328a6af39678038eb7d57e960b","Success","Approve","21170670","2024-11-12 09:21:11","0x699908d8aafe380588fa2044d96b6fb2f22e5165","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00093986"
"0x99b4f15905fe4261ce57a5a5155a9a944bca2fad37c8885b05c0029a3bb8f51f","Success","Permit","20933305","2024-10-10 06:05:59","0xc04aa49a24ca82ee5c048f275aee6e9f74bd141d","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00056384"
"0x6f87d8c60ee492bf7165064a12158db81448751aa4bdd2163a8c9b4c4af47849","Success","Transfer","20890046","2024-10-04 05:24:35","0xa7522b8c92907f22cab113486b26125fb5caa191","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00012392"
"0xef6f6490f0dd44bd15c871252522c21df35b4b9a08da19ba5d78c45e438d7230","Success","Transfer","20890041","2024-10-04 05:23:35","0xa7522b8c92907f22cab113486b26125fb5caa191","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00021978"
"0x789ed8bd481f98390f3891d2a2fad40a6006cebfa81a310de52e93957043d1b6","Success","Approve","20815816","2024-09-23 20:57:11","0x5c526c0e0172b6b5459f5d756fd38c972398e727","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00087519"
"0x70c878821de35f0eb7ebc4538dba45c55649c022f65897f496e59c4692abccbc","Success","Approve","20710452","2024-09-09 03:45:23","0x31793390aeda8b340ae2912f9d1967c10a81b0e0","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00011551"
"0xe9283bce01ce9765bb93a7b1011210db9cb7e3fbcbce804423b66679e77d2a78","Success","Approve","20709242","2024-09-08 23:42:23","0x31793390aeda8b340ae2912f9d1967c10a81b0e0","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00002965"
"0xf6789a5b2c7bde887794ff4a810b744a0f3c95212f64afd9a25ad5710da66ab1","Success","Approve","20709235","2024-09-08 23:40:59","0x31793390aeda8b340ae2912f9d1967c10a81b0e0","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00006176"
"0x34e5cee156484f6a282e842ae373ad6ea1b946bbde842f1abda9adac4e0dfcc3","Success","Swap","20669746","2024-09-03 11:27:11","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00018622"
"0x357ab9699de875d580800cee64ef4aa00c388341ccd10b6e93c79b5a80162995","Error in Main Txn : execution reverted","Swap","20669742","2024-09-03 11:26:23","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00015955"
"0xfc10dcdc6a0101356773a09e71688fc7b4115088f48558b6621e3144ceb20e20","Success","Swap","20669535","2024-09-03 10:44:59","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00014706"
"0x555acb234fdced204e7b5c3a90c3bb1e83eabdd772c25245114f608c9ab8b754","Error in Main Txn : execution reverted","Swap","20669525","2024-09-03 10:42:59","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00013848"
"0xf591dc3fc90ebed943df2d1983b2f613bc90db68a2e7587f9cbb5d8403b0dfcc","Error in Main Txn : execution reverted","Swap","20669521","2024-09-03 10:42:11","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00013888"
"0x5e5cc4fee7d29b34ea1291965b5c8da95dd3f7bab8cfb54a36202f8754f12d80","Error in Main Txn : execution reverted","Swap","20669512","2024-09-03 10:40:23","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00012768"
"0x7e6b9c1f0b29c5f524e7abb29bd87e39d7a482088c83a33b6c5c7c3bde2b6f3c","Success","Swap","20669418","2024-09-03 10:21:11","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00013474"
"0x4c2bc0bdf8400313e68529635798a2a0f3ba1ed2109b63d0fe48aab3d803986b","Error in Main Txn : execution reverted","Swap","20669407","2024-09-03 10:18:59","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00012056"
"0xb863b47d767877643dc039abcd1f2a40f36d9f9be24bef83e497303614c37596","Error in Main Txn : execution reverted","Swap","20669397","2024-09-03 10:16:59","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00014358"
"0xd0379a09fb94988e623833d8b86942c0476b01dab5bc2c5889837440ac643bd4","Error in Main Txn : execution reverted","Swap","20669386","2024-09-03 10:14:47","0x5d6d01b51eaa65be092bf01eb9bb6db6016a3caa","","0x3885fbe4CD8aeD7b7e9625923927Fa1CE30662A3","Uniswap V2: NEIRO 13","0 ETH","$0.00","0.00014076"
