Blockno,DateTime (UTC),Parent Transaction Hash,Status,Type,From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"22304761","2025-04-19 18:12:35","0xf1a5cb63ce961ba6dc7f59844bf0a57c92bc59ea3de5b323fa4224976cdaeb82","Success","call","0xc38e4e6a15593f908255214653d3d947ca1c2338","","0xf93191d350117723dbeda5484a3b0996d285cecf","","0.000598827657 ETH","$0.97"
"","","0xe96d2c6bef7db3e2d9c9ca4ac580e29c62823181d0d832f43964641a2768477e","Success","call","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","Uniswap V2: Router 2","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xd93b237f729ddA43E0e5c44E76FB86727","0.041153094649388624 ETH","$66.71"
"","","0xefce001e8bc1fc3921c5f3309612b61290a1f82c06e433583b2db7d439d234b0","Success","call","0xcc559e98a45fad9ec199248ea19f701bbc8ce821","","0xa29381815cfa5ca485c7b7a1bf9dde05bf257a44","","0.28490567 ETH","$461.81"
"","","0xefce001e8bc1fc3921c5f3309612b61290a1f82c06e433583b2db7d439d234b0","Success","create2","0x29ef46035e9fa3d570c598d3266424ca11413b0c","","0xcc559e98a45fad9ec199248ea19f701bbc8ce821","","0 ETH","$0.00"
"","","0x77ec213c7c405de012b7196b2a388acb277bd02da6e3c5139aa8ba0ccdc707d6","Success","call","0xac0f906e433d58fa868f936e8a43230473652885","StakeWise: Genesis Vault","0x0b2cb3e28e0565be6b5e71ab3210cfb5f158cb54","","0.500017804418130654 ETH","$810.49"
"","","0xb02a7373f084c226286e0579b00bcbeaa274f6875aa6766300b405d08010d725","Success","call","0x0d0e364aa7852291883c162b22d6d81f6355428f","0x: Settler V1.7","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xd93b237f729ddA43E0e5c44E76FB86727","0.015 ETH","$24.31"
"","","0xb02a7373f084c226286e0579b00bcbeaa274f6875aa6766300b405d08010d725","Success","call","0x0000000000001ff3684f28c67538d4d072c22734","0x: Allowance Holder","0x0d0e364aa7852291883c162b22d6d81f6355428f","0x: Settler V1.7","0.015 ETH","$24.31"
"","","0x41a1e597d403a431c4c75dfea232de8f8e8dc27d1087e34b4cae30c8fef9a71e","Success","call","0xfe82e5385dfd31ab4ff446aa992e8f57c7b98ba1","","0xdfd131b5d17182d0908f3d9174aad0aa151f3b8c","","0.000701791769349071 ETH","$1.14"
"","","0x41a1e597d403a431c4c75dfea232de8f8e8dc27d1087e34b4cae30c8fef9a71e","Success","call","0xfe82e5385dfd31ab4ff446aa992e8f57c7b98ba1","","0x30f7bba36065a370691e2fe9d203f31bac18ec92","","1 wei","$0.00"
"","","0x41a1e597d403a431c4c75dfea232de8f8e8dc27d1087e34b4cae30c8fef9a71e","Success","call","0xfe82e5385dfd31ab4ff446aa992e8f57c7b98ba1","","0x30f7bba36065a370691e2fe9d203f31bac18ec92","","0.001371928329226037 ETH","$2.22"
"","","0x41a1e597d403a431c4c75dfea232de8f8e8dc27d1087e34b4cae30c8fef9a71e","Success","call","0xfe82e5385dfd31ab4ff446aa992e8f57c7b98ba1","","0xdb1e6419c7fe78865b5e849c2905b36dca39295c","","0.016291648909559191 ETH","$26.41"
"","","0x41a1e597d403a431c4c75dfea232de8f8e8dc27d1087e34b4cae30c8fef9a71e","Success","call","0xfe82e5385dfd31ab4ff446aa992e8f57c7b98ba1","","0xcc43d77d1a7823611e0a3cbc2eacc30c9e75aedf","","0.0166346309918657 ETH","$26.96"
"","","0x784df85a998746d0e43c2421735821e4c7dcb019a56b49d71353f4fa112f846d","Success","call","0xa5f565650890fba1824ee0f21ebbbf660a179934","Reservoir: Relay Receiver","0xf70da97812cb96acdf810712aa562db8dfa3dbef","","0.000000141734513696 ETH","$0.00"
"","","0x7eb405823f5536572e4693af854ee1d8f674e568fbc54c454f8f62f71f61f9c2","Success","call","0xa5f565650890fba1824ee0f21ebbbf660a179934","Reservoir: Relay Receiver","0xf70da97812cb96acdf810712aa562db8dfa3dbef","","0.000017415429390798 ETH","$0.03"
"","","0x14188c7920e8f938dba1aa754f07d6db8a623a0e34776198a871d69b52a44cd2","Success","call","0x4313c378cc91ea583c91387b9216e2c03096b27f","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xd93b237f729ddA43E0e5c44E76FB86727","0.0495 ETH","$80.24"
"","","0x14188c7920e8f938dba1aa754f07d6db8a623a0e34776198a871d69b52a44cd2","Success","call","0x4313c378cc91ea583c91387b9216e2c03096b27f","","0xb8159ba378904f803639d274cec79f788931c9c8","","0.0005 ETH","$0.81"
"","","0x3fb843558a733d9bb7f94fc731a8766d50d9a13463bd305b8e55cf93f0ab105b","Success","call","0x66a9893cc07d91d95644aedd05d03f95e1dba8af","Uniswap V4: Universal Router","0x9ce4d0d4a8de4d94a3b530dc707c4817798f931c","","0.309830106615626968 ETH","$502.21"
"","","0x3fb843558a733d9bb7f94fc731a8766d50d9a13463bd305b8e55cf93f0ab105b","Success","call","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xd93b237f729ddA43E0e5c44E76FB86727","0x66a9893cc07d91d95644aedd05d03f95e1dba8af","Uniswap V4: Universal Router","0.309830106615626968 ETH","$502.21"
