Parent Transaction Hash,Status,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0xd96c0a9b606fed6c0ce8a65514e51dc1b214123c9e5f58541e2cd20e27639be2","Success","22308354","2025-04-20 06:14:59","0xF0075B3Cf8953d3E23b0eF65960913Fd97eb5227","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0x0d9f01e157eb9a284c7f2e2a39b7ef99a324114456a60c356f1e1c2c1477234e","Success","22307584","2025-04-20 03:39:47","0x3ae83661F6B48b768c43Bea2d58080414F8Cf9bf","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","1 ETH","$1,610.40"
"0x8800257fe071432f909713c4fb01ed31e775ca6331fb056ce110c45c1e2d2294","Success","22307507","2025-04-20 03:24:11","0x5dbacb9A0F563fa1349901B102f57d8D6E9C1EAc","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","1 ETH","$1,610.40"
"0x1746fad49715ac47410ceeec0e07214622bcdcbb4f98eb44a0eb7c263764bf1f","Success","22307317","2025-04-20 02:46:11","0xF0075B3Cf8953d3E23b0eF65960913Fd97eb5227","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0x0b28247637fdf62dcd42c1dae6b711c1ad5ec13d9744b3a3f5d8120e86ef8662","Success","22307311","2025-04-20 02:44:59","0xDc71aFFC862fceB6aD32BE58E098423A7727bEbd","MetaMask: Validator Staking","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0x63295c866f64ea9279efc252b024c97bbedacb4bad3c1fbf78d38eb6ff08fc33","Success","22307239","2025-04-20 02:30:35","0x2751E8588116b7EA7053d2D6FEb73a5D414A36c6","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0x63295c866f64ea9279efc252b024c97bbedacb4bad3c1fbf78d38eb6ff08fc33","Success","22307239","2025-04-20 02:30:35","0x2751E8588116b7EA7053d2D6FEb73a5D414A36c6","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0x63295c866f64ea9279efc252b024c97bbedacb4bad3c1fbf78d38eb6ff08fc33","Success","22307239","2025-04-20 02:30:35","0x2751E8588116b7EA7053d2D6FEb73a5D414A36c6","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0xae77b186fe55d87d45b9474146a3b0a588e7440c5264a573a31921c85fcccc46","Success","22307219","2025-04-20 02:26:35","0x2751E8588116b7EA7053d2D6FEb73a5D414A36c6","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0xae77b186fe55d87d45b9474146a3b0a588e7440c5264a573a31921c85fcccc46","Success","22307219","2025-04-20 02:26:35","0x2751E8588116b7EA7053d2D6FEb73a5D414A36c6","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
"0xae77b186fe55d87d45b9474146a3b0a588e7440c5264a573a31921c85fcccc46","Success","22307219","2025-04-20 02:26:35","0x2751E8588116b7EA7053d2D6FEb73a5D414A36c6","","0x00000000219ab540356cBB839Cbe05303d7705Fa","0x13b3C4D345710Fbb1f0042542814B9474","32 ETH","$51,532.68"
