address,name,chainId
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,1
0x55897893c19e4B0c52731a3b7C689eC417005Ad6,Splendid Ethereum Safe,1
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Matt,1
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,10
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,56
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,100
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,137
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,1101
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,George George,42161
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,59144
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,84532
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,George George,534352
0x83219cF2104A6dEC6cdb2f12307ea3FC9C90C2C0,Exceptional Ethereum Safe,11155111
